N,rep,method,est,ci_half,theta_true
500,18,oracle,-0.964332688,0.04261889430542976,-0.972684612
500,18,proposed,-0.948752676,0.07757218495779386,-0.972684612
500,18,baseline,-1.021051619,0.1176455641220056,-0.972684612
500,19,oracle,-0.575588962,0.04338048362393801,-0.56792772
500,19,proposed,-0.595351671,0.06839986780758738,-0.56792772
500,19,baseline,-0.60714023,0.09456769282061171,-0.56792772
500,20,oracle,-0.776403433,0.042974570005518735,-0.788107457
500,20,proposed,-0.768612787,0.07264357107523918,-0.788107457
500,20,baseline,-0.964333204,0.11031821693405128,-0.788107457
500,21,oracle,0.8039427746131096,0.046019538203894504,0.7881946888479725
500,21,proposed,0.8430865145365428,0.07136121960405221,0.7881946888479725
500,21,baseline,0.7523371837746229,0.0885337938030529,0.7881946888479725
500,22,oracle,-0.573651946,0.04620018945675057,-0.604913748
500,22,proposed,-0.598365931,0.07026899736847232,-0.604913748
500,22,baseline,-0.697166437,0.10245121491042464,-0.604913748
500,23,oracle,-0.881762528,0.04403219296615977,-0.880304106
500,23,proposed,-0.940451034,0.07546703386878005,-0.880304106
500,23,baseline,-0.950874826,0.10678955595511624,-0.880304106
500,24,oracle,0.4548472426616419,0.04521525437841798,0.4707822529807968
500,24,proposed,0.45454708810235667,0.06785408080348362,0.4707822529807968
500,24,baseline,0.34848273792691115,0.09126537876137443,0.4707822529807968
500,25,oracle,0.6442684853895979,0.04405436511591549,0.6582779317628585
500,25,proposed,0.671163354605801,0.06327869399508566,0.6582779317628585
500,25,baseline,0.5636714828621046,0.08587642597094726,0.6582779317628585
500,26,oracle,0.9076688793450525,0.043945024536404274,0.889671524773422
500,26,proposed,0.9276061060440415,0.08138921860818828,0.889671524773422
500,26,baseline,0.7716828489962322,0.09757977280093101,0.889671524773422
500,27,oracle,0.597819687260052,0.04512743638937946,0.6070713462611235
500,27,proposed,0.6565651152161379,0.07791711385092169,0.6070713462611235
500,27,baseline,0.6338335975452912,0.09915553563109333,0.6070713462611235
500,28,oracle,-0.852118827,0.04538586056014568,-0.866344133
500,28,proposed,-0.905525741,0.07658088108525868,-0.866344133
500,28,baseline,-0.954844982,0.10637952286968061,-0.866344133
500,29,oracle,0.48135604940954557,0.04368726851179963,0.5145425404294042
500,29,proposed,0.5238527660492085,0.06799788827577587,0.5145425404294042
500,29,baseline,0.4556779815403523,0.0869847466153236,0.5145425404294042
50,0,oracle,-0.939351435,0.12567926657469017,-0.889423046
50,0,proposed,-0.368865939,0.0779304549682597,-0.889423046
50,0,baseline,-0.783937434,0.10461878945640204,-0.889423046
50,1,oracle,-0.498416735,0.125350577523017,-0.533183433
50,1,proposed,-0.156751637,0.08830147417656942,-0.533183433
50,1,baseline,-0.156136162,0.10289971058884712,-0.533183433
50,2,oracle,-0.654539608,0.12574074231429164,-0.718608386
50,2,proposed,-0.582841562,0.06171129895088518,-0.718608386
50,2,baseline,-0.542753388,0.05947230377098378,-0.718608386
50,3,oracle,0.7104705344122552,0.125036676993814,0.6840526210955027
50,3,proposed,0.6577193134267769,0.06414138760645312,0.6840526210955027
50,3,baseline,0.4725702251689889,0.02474627777613422,0.6840526210955027
50,4,oracle,-0.349006931,0.16572891143697532,-0.404484586
50,4,proposed,-0.067522418,0.08171080846924018,-0.404484586
50,4,baseline,-0.058611571,0.08211658274719834,-0.404484586
50,5,oracle,-0.59346819,0.1533083492441163,-0.812932074
50,5,proposed,-0.57280379,0.11689081107642511,-0.812932074
50,5,baseline,-1.095343602,0.10280948479753638,-0.812932074
50,6,oracle,-0.903652654,0.16948153076484712,-0.801806763
50,6,proposed,-0.409733913,0.10029540420051153,-0.801806763
50,6,baseline,-0.454439335,0.11338146035751638,-0.801806763
50,7,oracle,0.7480572278727882,0.17591742141662658,0.8426611213986563
50,7,proposed,0.865352811533477,0.10054086661870053,0.8426611213986563
50,7,baseline,0.47634689799724916,0.10900321228479383,0.8426611213986563
50,8,oracle,-0.865724175,0.14062081001975052,-0.847574838
50,8,proposed,-0.350756722,0.10592669312152841,-0.847574838
50,8,baseline,-0.542470353,0.11332809954725816,-0.847574838
50,9,oracle,-0.553267988,0.15594032278709047,-0.452095736
50,9,proposed,-0.304081742,0.1252220061786999,-0.452095736
50,9,baseline,-0.474577412,0.17541196065333325,-0.452095736
50,10,oracle,-0.537199335,0.11741375883641003,-0.576331809
50,10,proposed,-0.183572118,0.0653587534773706,-0.576331809
50,10,baseline,-0.169093719,0.08442908005326062,-0.576331809
50,11,oracle,-0.908798053,0.1446897512385389,-0.880173447
50,11,proposed,-0.844600556,0.08494164257145545,-0.880173447
50,11,baseline,-0.607778886,0.09272969303042679,-0.880173447
50,12,oracle,-0.579757647,0.17304001877926728,-0.518073449
50,12,proposed,-0.076841884,0.08643542454951848,-0.518073449
50,12,baseline,-0.076837463,0.09886595722495191,-0.518073449
50,13,oracle,0.898059923977871,0.1161527314699676,0.8784525484898063
50,13,proposed,0.7471995507281612,0.07504231114206003,0.8784525484898063
50,13,baseline,0.6170555886163134,0.07706690926516023,0.8784525484898063
50,14,oracle,0.7745204470046134,0.1336118794604199,0.8080345820584776
50,14,proposed,0.7266527130037561,0.20259972585177963,0.8080345820584776
50,14,baseline,0.7169821844015338,0.17963907495860626,0.8080345820584776
50,15,oracle,0.6197304665930868,0.11187421885949476,0.6986881157179812
50,15,proposed,0.2588354002248987,0.1113065222490646,0.6986881157179812
50,15,baseline,0.2468906583471514,0.09441685914398232,0.6986881157179812
50,16,oracle,0.5341454107966563,0.16865290283199144,0.5095911122295542
50,16,proposed,0.4623286694030068,0.05934865917335959,0.5095911122295542
50,16,baseline,0.37405908897344037,0.08049579016452535,0.5095911122295542
50,17,oracle,0.1799353901444174,0.1459483837831155,0.43344130983557405
50,17,proposed,0.08870786176628787,0.06832313355157453,0.43344130983557405
50,17,baseline,0.06355033292493317,0.07834985746508641,0.43344130983557405
50,18,oracle,-0.578976087,0.18186057129531422,-0.576561274
50,18,proposed,-0.56792382,0.07392676902482385,-0.576561274
50,18,baseline,-0.591046999,0.01807195995121483,-0.576561274
50,19,oracle,0.583449056845731,0.12153114571986796,0.6802273897789353
50,19,proposed,0.6144817980913064,0.06210368793470096,0.6802273897789353
50,19,baseline,0.5072726125063192,0.05949554149692932,0.6802273897789353
